QUEST_LV_0200_20150317_000001	Солдат Филиппа	필리파스 직속 부대원
QUEST_LV_0200_20150317_000045	Только не забудьте принести мне не слишком толстые.	이왕이면 굵지 않은 걸로 가져다 주십시오.병사 샘슨
QUEST_LV_0200_20150317_000046	Это должно быть в самый раз.{nl}Хорошо. Теперь, как мне сжечь это, пока я работаю, и не попасться?	이 정도면 적당하군요.{nl}좋아. 이걸 어떻게 근무 중에 들키지 않고 태울까나.병사 샘슨
QUEST_LV_0200_20150317_000047	На краю утеса Ишизети должно быть много сухого тернового леса.{nl}Я нахожусь в патруле и у меня нет времени, поэтому я прошу вас еще раз.	이쉬시네티 벼랑에 마른 가시 나무가 잔뜩 있을 겁니다.{nl}전 경계 임무 때문에 자리를 비울 수 없으니 이번에도 부탁합니다.병사 샘슨
QUEST_LV_0200_20150317_000048	Ах, ты сможешь тайно сжечь его на вершине утеса Ишизети.{nl}Это мой последний запрос. Вам просто нужно подготовиться к пожару.	아, 이쉬시네티 벼랑 위쪽이면 몰래 태울 수 있을 겁니다.{nl}제 마지막 부탁입니다. 불 피울 준비만 해 주시면 됩니다.병사 도미니크
QUEST_LV_0200_20150317_000049	Я больше никогда не буду заботиться о чужой свадебной церемонии.	다신 절대로 남의 결혼식엔 상관 안할 겁니다.병사 도미니크
QUEST_LV_0200_20150317_000050	Я просто скажу, что мне нужно пойти в ванную и тайно там сжечь.{nl}Большое спасибо.	화장실 간다고 하고 몰래 태우지요.{nl}정말 고맙습니다.병사 도미니크
QUEST_LV_0200_20150317_000051	Солдат Поултер	병사 폴터
QUEST_LV_0200_20150317_000052	Боже мой, приказ гласит: уничтожить всех монстров в этой области!{nl}Как я должен справиться с таким количеством врагов в одиночку?	세상에, 명령서엔 이 근처 몬스터를 다 제거하라는군요.{nl}어떻게 저 혼자 이 많은 수를 감당하죠?병사 폴터
QUEST_LV_0200_20150317_000053	Было слишком сложно выполнить задание в одиночку.{nl}Тем не менее, мне очень повезло, так как вы решили мне помочь.	저 혼자서 하긴 너무 버거웠어요.{nl}하지만 당신이 도와주신다니 정말 다행이네요.병사 폴터
QUEST_LV_0200_20150317_000054	Я чуть не плакал!{nl}Большое спасибо за вашу помощь.	정말 눈물 날 뻔했어요.{nl}도움을 주셔서 정말 감사합니다.병사 폴터
QUEST_LV_0200_20150317_000055	Командир Джулиан	지휘관 줄리안
QUEST_LV_0200_20150317_000056	Спасибо за помощь!{nl}Если вы не возражаете, я бы хотел позаимствовать у вас еще немного сил.{nl}	정말 고맙군.{nl}괜찮다면, 자네의 힘을 좀 더 빌리고 싶네.{nl}지휘관 줄리안
QUEST_LV_0200_20150317_000057	Не поддержите ли вы отряд командира О'Рурка на Перекрестке Велтуи?	벨투이 교차로에서 지휘관 오루크 부대를 지원해주지 않겠나?지휘관 줄리안
QUEST_LV_0200_20150317_000058	Командир О'Рурк	지휘관 오루크
QUEST_LV_0200_20150317_000059	Очень впечатляет.{nl}Похоже, мне придется купить Джулиану выпить.	엄청난 실력이군.{nl}이거 줄리안에게 한잔 사야겠어.지휘관 오루크
QUEST_LV_0200_20150317_000060	Это пришло мне в голову, когда я смотрел Ironbaum.{nl}Какой это может быть исключительный компаньон.	아이언바움을 지켜보면서 든 생각인데. {nl}그 친구 참 대단한 친구야.지휘관 줄리안
QUEST_LV_0200_20150317_000061	Отряд О'Рурка был истощен в больших и малых битвах с Айронбаумом.{nl}Было бы очень обнадеживающе, если бы вы могли стать нашей силой.	오루크 부대는 아이언바움과의 크고 작은 전투로 지쳐 있네.{nl}자네가 힘이 되어 준다면 아주 든든할 걸세.지휘관 줄리안
QUEST_LV_0200_20150317_000062	Скульптура совы на замену	떠나가는 부엉이 조각상
QUEST_LV_0200_20150317_000063	Я хочу помочь очистить тернистый лес, но я недостаточно силен. Не могли бы вы уничтожить древесных упырей, беспокоящих солдат?	가시숲을 정화해 주는 병사들을 돕고 싶은데 제겐 그럴 힘이 없어 안타까워요.{nl}트리굴이라도 처치해 주실 수 있을까요?
QUEST_LV_0200_20150317_000064	Было бы неплохо, если бы больше людей могло приходить и уходить по этой дороге, как раньше.{nl}Я нахожу людей очень интересными.	예전처럼 이 길을 오가는 사람들이 많아졌으면 좋겠어요.{nl}사람들은 정말 재밌거든요.떠나가는 부엉이 조각상
QUEST_LV_0200_20150317_000065	Спасибо. Надеюсь, я не доставляю вам ненужных хлопот только из-за своих устремлений.	고마워요. 괜히 제 바램 때문에 고생하시네요.떠나가는 부엉이 조각상
QUEST_LV_0200_20150317_000066	Хорошо. Мы не получили никаких известий от наших войск на Ниурусском шоссе.{nl}Прошу вас найти их.	좋소. 니우러스 가도에서 우리 부대원들의 소식이 끊겼소.{nl}그들의 수색을 부탁하오.지휘관 오루크
QUEST_LV_0200_20150317_000067	Если вы не можете их найти, вернитесь к нам.	만약 찾아봐도 그들이 없다면, 일단은 그냥 돌아오시오.지휘관 오루크
QUEST_LV_0200_20150317_000068	Солдат Каллус	병사 칼루스
QUEST_LV_0200_20150317_000069	Есть еще несколько наших коллег.{nl}Пожалуйста, помогите нам.	아직 안쪽에 동료들이 많습니다.{nl}지원을 부탁드립니다.병사 칼루스
QUEST_LV_0200_20150317_000070	Солдат Дайнус	병사 다이뉴스
QUEST_LV_0200_20150317_000071	Айронбаум напал на нас в Дриезе Уотерленд.{nl}Еще остались солдаты, которые еще не сбежали.{nl}	드리에자 습지에서 아이언바움이 공격해왔습니다.{nl}아직 도망치지 못한 대원들도 있다고요.{nl}병사 다이뉴스
QUEST_LV_0200_20150317_000072	Мне неловко сбежать в одиночку.{nl}	혼자 도망쳐 나온 게 정말 부끄럽습니다.{nl}병사 다이뉴스
QUEST_LV_0200_20150317_000073	Скульптура оседлой совы	정착한 부엉이 조각상
QUEST_LV_0200_20150317_000074	У меня есть кое-что у вас спросить.{nl}Я беспокоюсь о солдатах, которых ранили Равинеларвы.	부탁드리고 싶은 게 있어요.{nl}병사들이 러바인러바때문에 고생하는 게 너무 안타까워요.정착한 부엉이 조각상
QUEST_LV_0200_20150317_000075	Спасибо.{nl}Теперь наши солдаты могут комфортно работать?	감사해요.{nl}이제 병사들이 편하게 작업할 수 있겠죠?정착한 부엉이 조각상
QUEST_LV_0200_20150317_000076	Я ценю вашу любезную помощь.{nl}Однажды я отвечу вам этой услугой, когда встречусь с вашей душой.	따뜻한 도움 정말 감사드려요.{nl}나중에 영혼이 되어 만나게 되면 그 땐 정말 잘해드릴게요.정착한 부엉이 조각상
QUEST_LV_0200_20150317_000077	Вы знаменитый автор откровений?{nl}Хорошо, я кое-что озадачил. Мне нужна твоя помощь.	자넨 그 유명한 계시자 아닌가.{nl}이거 참 난처했는데 잘 됐군. 자네의 도움이 필요해.
QUEST_LV_0200_20150317_000078	А, теперь я получил приказ.{nl}Вернитесь к командиру Джулиану.	아, 이제야 명령서가 왔군요.{nl}지휘관 줄리안님께 돌아가 보십시오. 병사 폴터
QUEST_LV_0200_20150317_000079	Я собираю информацию о Айронбауме.{nl}Чтобы добраться до Врат Великого Короля, мы должны сначала победить этого монстра.	난 아이언바움에 대한 정보를 모으고 있겠네.{nl}대왕의 관문으로 가는 길을 뚫으려면 이 놈을 퇴치하는 게 우선순위지.지휘관 줄리안
QUEST_LV_0200_20150317_000080	Спасибо.{nl}Вернись после того, как отнесешь этот приказ Поултеру на холм Заизда.	그래 말해주니 정말 고맙군.{nl}자이즈다 언덕에 있는 폴터에게 이 명령서를 가져다주고 다시 돌아오게.지휘관 줄리안
QUEST_LV_0200_20150317_000081	Верни мне старые добрые времена.{nl}Когда не было шипов.	예전이 정말 그리워요.{nl}가시나무같은 건 없었거든요.떠나가는 부엉이 조각상
QUEST_LV_0200_20150317_000082	Если путь к Вратам Великого Короля безопасен, я смогу увидеть больше людей.{nl}	대왕의 관문까지 가는 길이 안전해지만 사람들도 많이 구경할 수 있겠지요.{nl}떠나가는 부엉이 조각상
QUEST_LV_0200_20150317_000083	За все это время я все это видел.{nl}Теперь я хочу, чтобы меня видели только радость.	너무 오랫동안 많은 것을 보아왔어요.{nl}이젠 즐거운 것만 보고 싶네요.정착한 부엉이 조각상
QUEST_LV_0200_20150317_000084	Почему в человеческих душах так много всего?	인간의 영혼은 왜 그리 많은 것을 품고 있을까요?정착한 부엉이 조각상
QUEST_LV_0200_20150317_000085	Если мы столкнемся с монстрами, у нас не останется выбора, кроме как сражаться.	이러다 몬스터라도 잔뜩 나타나면 답이 없을 겁니다.병사 도미니크
QUEST_LV_0200_20150317_000086	Мы работаем, чтобы добраться до Врат Великого Короля.{nl}Вы слышали новости о Айронбауме?	저흰 대왕의 관문까지 길을 뚫는 작업을 하고 있습니다.{nl}아이언바움은 어떻게 됐는지 혹시 들은 것 있으신가요?병사 샘슨
QUEST_LV_0200_20150317_000087	Чтобы быть лидером группы, вам нужны непоколебимые принципы.	한 무리에서 지도자가 되려면 흔들리지 않는 원칙을 가져야 하지.지휘관 오루크
QUEST_LV_0200_20150317_000088	Это правда, что пытаться добраться до Врат Великого Короля безрассудно.{nl}Однако мы не можем не подчиняться приказу.	대왕의 관문까지 길을 뚫는 게 무모한 건 사실이지.{nl}그렇다고 해서 명령에 불복할 순 없어.지휘관 줄리안
QUEST_LV_0200_20150317_000089	Сначала это может показаться плохим, но у двух командиров удивительно хорошие отношения.	사이는 나빠 보이지만, 두 지휘관님은 의외로 호흡이 잘 맞아요. 병사 폴터
QUEST_LV_0200_20150317_000090	Мне так одиноко, потому что здесь никого нет.{nl}Я давно не встречал новых лиц.	아무도 없으니 너무 외로워요.{nl}사람은 정말 오랜만이네요.걱정하는 부엉이 조각상
QUEST_LV_0200_20150317_000091	Что ты хочешь делать здесь, в этом пустом лесу? Нет, способ доступен?	아무도 없는 숲에 무슨 일이세요?{nl}설마, 다시 길이 뚫렸나요?걱정하는 부엉이 조각상
QUEST_LV_0200_20150317_000092	Спасибо.{nl}Теперь солдаты и мои коллеги смогут спать спокойно.	감사해요.{nl}병사들도, 제 동료들도 편히 잠들 수 있을 거에요.걱정하는 부엉이 조각상
QUEST_LV_0200_20150317_000093	Я не чувствую своих рук и ног.{nl}Я чувствую себя так странно, хотя это не холодно.	팔과 다리에 감각이 없어.{nl}추운 것도 아닌데 기분이 이상해.병사 알란
QUEST_LV_0200_20150317_000094	Мы должны победить Гайгаласа.{nl}Иначе я не смогу спать спокойно.	가이갈라스를 반드시 무찔러야 한다.{nl}그렇지 않으면 너무 화가 나서 잘 수도 없을 거야.지휘관 월리스
QUEST_LV_0200_20150317_000095	Скоро мы начнем охоту на Гайгаласа.{nl}Я так взволнован.	곧 가이갈라스 사냥을 시작할거야.{nl}흥분되는군.병사 와이즈
QUEST_LV_0200_20150317_000096	Эта обида настолько печальна.{nl}Печально, что мы тоже не в силах ее остановить.	원한이란 건 너무 슬퍼요.{nl}보고만 있어야 하는 것도 너무 슬퍼요.오래된 부엉이 조각상
QUEST_LV_0200_20150317_000097	Потери будут продолжаться, если кто-то не остановит демонов.	사악한 존재들이 날뛰는 한 희생은 계속되겠지요.오래된 부엉이 조각상
QUEST_LV_0200_20150317_000098	Член совместной следственной группы Фрей	합동조사단 프레이
QUEST_LV_0200_20150317_000099	Я Фрей.{nl}Слушаю историю, ситуация кажется плохой.{nl}Если информация, которую вы исследовали со Скоттом, верна.	난 프레이라고 해.{nl}이야길 들어보니 어째.. 상황이 좀 안 좋은가 보네?{nl}스캇과 네가 조사한 내용이 그렇다면야..합동조사단 프레이
QUEST_LV_0200_20150317_000100	{nl}Тогда мне придется что-то сделать.{nl}Пожалуйста, сначала победите красных ваббов. В последнее время меня беспокоят.	{nl}나도 그럼 이쪽에서 뭐라도 해야겠지.{nl}우선은 붉은 부베 약탈자를 좀 처리해 줘. 거슬리기 짝이 없거든.합동조사단 프레이
QUEST_LV_0200_20150317_000101	Пожалуйста, я прошу вас…{nl}Меня тошнит, просто глядя на красный цвет.	그럼 부탁할게!{nl}저 붉은색만 봐도 이젠 정말 진절머리가 나.합동조사단 프레이
QUEST_LV_0200_20150317_000102	О, ты действительно победил их для меня?{nl}Спасибо!	어머, 진짜 날 위해 힘써준 거야?{nl}고맙기도 해라!합동조사단 프레이
QUEST_LV_0200_20150317_000103	Я кое-что понял после разговора со Скоттом.{nl}Что-то вроде движущейся скульптуры Дровосека.{nl}Это как-то связано с корой дерева, которое досталось Вуббам?	스캇이 전해 준 이야길 듣고 생각 난 건데 말야.{nl}우드맨이라고 살아 움직이는 나뭇조각 같은 게 있거든.{nl}아무래도 부베가 가지고 있었다는 나무껍질이랑 관련이 있는 걸까?합동조사단 프레이
QUEST_LV_0200_20150317_000104	Кстати, от Скотта до сих пор нет новостей о втором отчете.{nl}Интересно, что с ним случилось? Хм…	그나저나 스캇이 2차 보고서를 보내 준다고 했는데 아직도 소식이 없네.{nl}우리 귀여운 스캇에게 무슨 일이라도 생긴 걸까? 흐음..합동조사단 프레이
QUEST_LV_0200_20150317_000105	Вау, отлично!{nl}Я в долгу перед тобой. Спасибо!	와아, 대단한걸?{nl}이걸로 내가 빚을 졌네. 고마워!합동조사단 프레이
QUEST_LV_0200_20150317_000106	Правильно? Итак, я спрошу вас.{nl}Лесники появляются на Зоне Оленьего Уха вместе с левой стороной тропы.	역시 그렇지? 그럼 네게 부탁할게.{nl}우드맨은 왼쪽 길을 따라가면 나오는 사슴발굽 공터 쪽에서 나타나고 있어.합동조사단 프레이
QUEST_LV_0200_20150317_000107	Я передам этот объединенный результат информации, которую Скотт дал мне, и этот фрагмент моему начальнику.{nl}Кстати, от Скотта все еще нет новостей. Даже обещанное Скоттом время давно прошло. Для другого следователя недостаточно просто использовать слухи?{nl}	이 파편이랑 스캇의 자료를 조합한 결과를 선배에게 전해야겠어.{nl}그런데 우리 스캇이 문서로 된 보고서를 준다고 한 지가 훠얼씬 지났는데 아직도 소식이 없네?{nl}전해 들은 이야기만으로는 다른 조사단원에게 신빙성이 떨어지지 않겠어?{nl}합동조사단 프레이
QUEST_LV_0200_20150317_000108	Не могли бы вы забрать отчет от Скотта?{nl}Не забывайте ругать его за пропуск работы!	네가 스캇에게 보고서 좀 받아와 줄 수 있을까?{nl}농땡이 중이면 흠씬 혼내 주는 거 잊지 말고!합동조사단 프레이
QUEST_LV_0200_20150317_000109	Пожалуйста, обработайте отчет Скотта. Хорошо?{nl}Иногда он глуп, но он еще и милый.	우리 스캇의 보고서를 부탁해. 알았지?{nl}가끔 맹한 구석이 있어서 답답하지만 그게 또 귀엽거든.합동조사단 프레이
QUEST_LV_0200_20150317_000110	У меня нет лица. В настоящее время я везде ищу что-нибудь, чтобы найти что-нибудь ..{nl}Большое спасибо. Если вы не…{nl}А, я не хочу об этом думать.{nl}	면목이 없네. 요즘 이것저것 조사한다고 여기저기 들쑤시고 다녔더니..{nl}정말 고마워.  네가 아니었으면 아마 지금쯤.. {nl}아휴, 생각하기도 싫군.{nl}합동조사단 스캇
QUEST_LV_0200_20150317_000111	Ой, нет на это времени.{nl}Мне очень жаль, пожалуйста, отдайте это Фрею, а не мне.{nl}Я не знаю, с чего начать убирать беспорядок, который сделал Вуббс ..	아차, 이럴 때가 아니지.{nl}미안한데 이 연구 자료 좀 프레이한테 대신 전해 줘.{nl}부베들이 난리 쳐 놓은 것들을 다 정리해야 하는데 어디서부터 시작해야 할지..합동조사단 스캇
QUEST_LV_0200_20150317_000112	Ах, это отчет!{nl}Хорошо, а что делал Скотт?{nl}	아, 보고서구나! {nl}그래. 스캇은 뭐 하고 있었대?{nl}합동조사단 프레이
QUEST_LV_0200_20150317_000113	В самом деле? Он не смог справиться ни с одним Вуббе, и вместо этого попал в беду.{nl}Какая жалость .. Я буду его ругать позже!	그래? 부베 하나 제대로 처리하지도 못하고 쩔쩔매고 있었단 말이지?{nl}이거 참 부끄럽게.. 나중에 내가 한마디 해야겠어!합동조사단 프레이
QUEST_LV_0200_20150317_000114	Все беспорядочно.{nl}Я не могу сосредоточиться, как Vubbes.{nl}Он должен смеяться, Если он на это смотрит?	전부 다 엉망이야 엉망. {nl}저놈의 부베들 때문에 집중할 수가 없어.{nl}이 꼴을 프레이가 본다면 분명히 비웃겠지?합동조사단 스캇
QUEST_LV_0200_20150317_000115	Член совместной следственной группы Фрей	합동조사단프레이
QUEST_LV_0200_20150317_000116	Это все еще продолжается, чтобы узнать правду о событиях.{nl}Примите это. Это свиток сбора душ.{nl}	사건의 실체를 파악하려면 아직 멀었어. 아직도 할 일이 쌓여있다고.{nl}자. 이거 받아. 영혼수집 스크롤이야.{nl}합동조사단프레이
QUEST_LV_0200_20150317_000117	Как только ты победишь Красного Вубба с помощью этого свитка, душа Вуббе исчезнет?{nl}Я попрошу тебя собрать его для меня. Затем данные почти готовы.	붉은 부베 궁수에 이 스크롤을 사용한 뒤 처치하면 정신체만 쏙 빠져나오거든?{nl}그걸 모아서 갖다 줘. 그러면 얼추 자료들이 정리될 것 같아.합동조사단프레이
QUEST_LV_0200_20150317_000118	Не забывайте порядок.{nl}Вы должны победить красных вуббов после того, как примените на них свиток сбора душ. Хорошо?	순서 까먹지 마.{nl}붉은 부베 궁수에게 영혼수집 스크롤 먼저 사용한 뒤에 처치하는 거야. 알겠지?합동조사단 프레이
QUEST_LV_0200_20150317_000119	О коре дерева, которое получил Вуббе.{nl}Думаю, я могу объединить это, используя что-то вроде духа ..{nl}Хорошо, пожалуйста, расскажите эту новость Юкирту.	부베들이 지녔다던 나무껍질 말이야.{nl}뭔가 영적인 것으로 결합할 수 있는 거 같아..{nl}음, 이 이야기를 유커트에게 전해 줘.합동조사단 프레이
QUEST_LV_0200_20150317_000120	Член совместной следственной группы под юбкой	합동조사단 유커트
QUEST_LV_0200_20150317_000121	Скотт и Фрей хорошо поработали. Что вы об этом думаете?{nl}Я не думаю, что Vubbe не может создать себя.{nl}Мне нужно будет проверить, что они делают, используя это.{nl}	프레이와 스캇이 열심히도 뛰어 줬군. 네가 보기엔 어때? {nl}난 이런 걸 부베들이 만들 수 있을 리 없다고 생각해.{nl}이 나무껍질로 무엇을 하려는지 천천히 조사해 봐야겠어.{nl}합동조사단 유커트
QUEST_LV_0200_20150317_000122	Внутри ящиков с припасами может быть что-то, что солдаты оставили давным-давно.{nl}Вы найдете там несколько старых ящиков с припасами.{nl}Вы можете пойти туда и проверить? Если мы получим там какие-то подсказки, мы можем получить ответ.	아마 예전에 병사들이 남겨 두고 간 보급품 상자 안에 뭔가 있을지도 몰라.{nl}저 위쪽으로 가면 오래된 보급품 상자들이 있어.{nl}한 번 가 봐 줄래? 거기서 얻은 단서들까지 합하면 뭔가 그럴싸한 결론이 날 것 같아.합동조사단 유커트
QUEST_LV_0200_20150317_000123	Если вы вернетесь тем же путем, которым только что пришли, то увидите на холмах башню обсерватории.{nl}Надеюсь, монстры еще не коснулись ее ..	왔던 길을 조금 되돌아가 보면 언덕 위에 감시탑이 있을 거야.{nl}아직 몬스터가 손대지 않았으면 좋겠는데..합동조사단 유커트
